M_AQP|A Quiet Place|Horror|If they hear you they hunt you|false|
M_FMG|Forever My Girl|Romance|Find your way back home|false|
M_WWM|Wonder Woman|Action|The future of justice begins with her|false|
M_BBD|Baby Driver|Music|All you need is one killer track|false|
M_RMG|Rampage|Science fiction|Big meets bigger|false|
M_AIW|Avengers:Infinity War|Science Fiction|Infinity|false|
M_LLL|La La Land|Romance|Here's to the fools who dream|false|
M_DRS|Doctor Strange|Action|The impossibilities are endless|false|
M_TFP|The Florida Project|Drama|Glorius and Gorgeous|false|M_TFP_MEM1_19052018:3.0:0.0:19/05/2018:|
M_BLk|Blockers|Comedy|Parents can be such|false|
